Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100
CH Gayle,9,228,272,9,25.33,83.82,79,28,6,1,0
S Chanderpaul,9,315,517,8,39.38,60.93,102,24,9,2,1
RR Sarwan,9,375,481,8,46.88,77.96,92,32,5,2,0
MN Samuels,8,216,285,7,30.86,75.79,63,22,6,2,0
BC Lara,8,269,330,7,38.43,81.52,77,19,5,1,0
DJ Bravo,8,129,158,6,21.5,81.65,37,10,2,0,0
D Ramdin,6,84,94,5,16.8,89.36,52,9,0,1,0
DR Smith,4,49,30,4,12.25,163.33,32,3,4,0,0
JE Taylor,4,37,41,4,9.25,90.24,13,4,0,0,0
DBL Powell,6,56,52,4,14,107.69,48,2,3,0,0
CD Collymore,5,22,23,2,11,95.65,12,0,2,0,0
Imran Nazir,3,190,175,3,63.33,108.57,160,17,9,0,1
Younis Khan,3,37,47,3,12.33,78.72,28,3,1,0,0
Mohammad Hafeez,2,15,34,2,7.5,44.12,11,3,0,0,0
Mohammad Yousuf,3,55,113,3,18.33,48.67,37,3,0,0,0
Inzamam-ul-Haq,3,74,103,3,24.67,71.84,37,6,3,0,0
Shoaib Malik,3,92,111,3,30.67,82.88,62,10,2,1,0
Kamran Akmal,3,42,74,3,14,56.76,27,6,0,0,0
Naved-ul-Hasan,1,11,29,1,11,37.93,11,0,0,0,0
Iftikhar Anjum,3,51,77,2,25.5,66.23,32,2,2,0,0
Umar Gul,3,11,20,3,3.67,55,10,2,0,0,0
AC Gilchrist,11,453,436,10,45.3,103.9,149,58,10,2,1
ML Hayden,10,659,652,9,73.22,101.07,158,69,18,1,3
RT Ponting,9,539,565,8,67.38,95.4,113,53,11,4,1
MJ Clarke,9,436,459,5,87.2,94.99,93,40,7,4,0
BJ Hodge,2,152,117,2,76,129.91,123,11,7,0,1
MEK Hussey,6,87,116,5,17.4,75,37,7,1,0,0
SR Watson,6,145,85,1,145,170.59,65,13,6,1,0
GB Hogg,2,45,21,0,0,214.29,40,3,3,0,0
DF Watts,2,33,69,2,16.5,47.83,24,2,1,0,0
RM Haq,3,35,70,3,11.67,50,16,5,0,0,0
NS Poonia,2,1,6,2,0.5,16.67,1,0,0,0,0
RR Watson,3,53,107,3,17.67,49.53,31,7,0,0,0
GM Hamilton,3,11,44,3,3.67,25,4,0,0,0,0
DR Brown,3,64,102,2,32,62.75,45,6,0,0,0
CJO Smith,3,85,129,3,28.33,65.89,51,13,0,1,0
CM Wright,2,5,28,2,2.5,17.86,4,0,0,0,0
GA Rogers,2,32,49,2,16,65.31,26,5,0,0,0
GEF Barnett,3,88,129,3,29.33,68.22,41,15,0,0,0
AM Samad,3,60,113,3,20,53.1,36,5,1,0,0
A Bagai,3,62,123,3,20.67,50.41,37,6,0,0,0
IS Billcliff,3,104,160,3,34.67,65,50,8,1,1,0
JM Davison,3,81,75,3,27,108,52,14,1,1,0
Qaiser Ali,1,6,16,1,6,37.5,6,1,0,0,0
AA Mulla,3,83,101,3,27.67,82.18,58,7,2,1,0
S Dhaniram,3,81,87,1,81,93.1,34,7,2,0,0
U Bhatti,2,11,30,2,5.5,36.67,10,1,0,0,0
AC Cummins,2,10,11,1,10,90.91,9,1,0,0,0
H Osinde,2,1,3,2,0.5,33.33,1,0,0,0,0
MA Ouma,3,75,155,3,25,48.39,58,8,1,1,0
DO Obuya,2,5,22,2,2.5,22.73,4,0,0,0,0
RD Shah,3,81,126,3,27,64.29,71,8,2,1,0
SO Tikolo,3,155,190,2,77.5,81.58,76,16,1,2,0
T Mishra,3,37,60,2,18.5,61.67,35,3,0,0,0
WU Tharanga,11,298,446,11,27.09,66.82,73,27,2,3,0
ST Jayasuriya,11,467,475,10,46.7,98.32,115,47,14,2,2
DPMD Jayawardene,11,548,644,9,60.89,85.09,115,40,10,4,1
KC Sangakkara,11,350,465,10,35,75.27,76,30,2,4,0
LPC Silva,10,350,452,8,43.75,77.43,64,28,4,4,0
TM Dilshan,9,217,236,7,31,91.95,58,15,2,1,0
MF Maharoof,3,39,36,3,13,108.33,25,6,0,0,0
RP Arnold,9,118,144,4,29.5,81.94,50,8,0,1,0
CJ Smith,1,0,5,1,0,0,0,0,0,0,0
S Mukuddem,1,0,4,1,0,0,0,0,0,0,0
OL Pitcher,3,28,81,3,9.33,34.57,22,2,0,0,0
DL Hemp,3,90,127,2,45,70.87,76,10,1,1,0
IH Romaine,3,11,32,3,3.67,34.38,11,2,0,0,0
JJ Tucker,3,13,33,3,4.33,39.39,9,2,0,0,0
DA Minors,3,48,64,3,16,75,23,4,2,0,0
LOB Cann,3,44,40,3,14.67,110,28,5,2,0,0
DCC Borden,3,21,74,3,7,28.38,13,2,0,0,0
KAD Hurdle,3,6,11,2,3,54.55,6,0,1,0,0
RDM Leverock,2,10,39,2,5,25.64,9,1,0,0,0
WTS Porterfield,9,172,379,9,19.11,45.38,85,7,0,1,0
JP Bray,9,212,338,8,26.5,62.72,115,22,2,0,1
EJG Morgan,9,91,179,9,10.11,50.84,28,11,1,0,0
NJ O'Brien,9,216,374,9,24,57.75,72,17,1,2,0
AC Botha,7,62,131,6,10.33,47.33,28,2,1,0,0
KJ O'Brien,8,170,263,7,24.29,64.64,49,13,5,0,0
AR White,8,128,173,8,16,73.99,38,13,0,0,0
DT Johnston,8,129,144,6,21.5,89.58,30,8,5,0,0
WK McCallan,8,33,75,7,4.71,44,20,2,0,0,0
D Langford-Smith,8,67,72,4,16.75,93.06,18,6,2,0,0
T Duffin,1,12,22,1,12,54.55,12,2,0,0,0
V Sibanda,3,68,95,3,22.67,71.58,67,9,0,1,0
CJ Chibhabha,3,27,69,3,9,39.13,12,3,0,0,0
